City_clean,ev_count,station_count,evs_per_station
8900 E. BUCKEYE AVE.,0,1,0.0
ABERDEEN,224,7,32.0
ACME,10,0,
ADDY,5,0,
AIRWAY HEIGHTS,42,8,5.25
ALBION,1,0,
ALDERDALE,1,0,
ALGONA,45,1,45.0
ALLYN,106,0,
ALMIRA,2,0,
AMANDA PARK,3,0,
AMBOY,28,0,
ANACORTES,892,15,59.46666666666667
ANDERSON ISLAND,55,0,
APPLETON,1,0,
ARIEL,23,0,
ARLINGTON,803,15,53.53333333333333
ARTONDALE,2,0,
ASHFORD,24,2,12.0
ASOTIN,13,0,
AUBURN,2731,20,136.55
AURORA,0,2,0.0
BAINBRIDGE ISLAND,2181,8,272.625
BARING,6,0,
BATTLE GROUND,819,4,204.75
BAY CENTER,1,0,
BEAUX ARTS,57,0,
BEAVER,1,0,
BELFAIR,200,2,100.0
BELLEVUE,11684,295,39.60677966101695
BELLINGHAM,3956,92,43.0
BENTON CITY,100,1,100.0
BICKLETON,2,0,
BINGEN,13,3,4.333333333333333
BLACK DIAMOND,493,0,
BLAINE,551,4,137.75
BONNEY LAKE,1424,7,203.42857142857142
BOTHELL,7872,28,281.14285714285717
BOW,146,1,146.0
BREMERTON,1913,15,127.53333333333333
BREWSTER,20,0,
BRIDGEPORT,3,0,
BRIDGEPORT BAR,6,0,
BRIER,319,0,
BRINNON,34,0,
BRUSH PRAIRIE,387,0,
BUCKLEY,363,0,
BUCODA,3,0,
BUENA,2,0,
BURBANK,22,2,11.0
BURIEN,1281,11,116.45454545454545
BURLINGTON,316,11,28.727272727272727
BZ CORNER,9,0,
CAMANO,0,2,0.0
CAMANO ISLAND,625,0,
CAMAS,2112,10,211.2
CARBONADO,14,0,
CARLTON,8,0,
CARNATION,457,0,
CARSON,26,0,
CASHMERE,101,0,
CASTLE ROCK,113,1,113.0
CATHLAMET,62,2,31.0
CENTERVILLE,5,0,
CENTRALIA,389,7,55.57142857142857
CHATTAROY,55,0,
CHEHALIS,289,9,32.111111111111114
CHELAN,203,5,40.6
CHELAN FALLS,4,0,
CHENEY,226,2,113.0
CHEWELAH,27,2,13.5
CHIMACUM,41,1,41.0
CHINOOK,3,0,
CINEBAR,9,0,
CLALLAM BAY,2,0,
CLARKSTON,84,3,28.0
CLAYTON,5,0,
CLE ELUM,317,4,79.25
CLEARLAKE,3,0,
CLINTON,300,0,
CLYDE HILL,388,0,
COLBERT,171,1,171.0
COLFAX,29,0,
COLLEGE PLACE,95,4,23.75
COLTON,4,0,
COLVILLE,69,5,13.8
CONCONULLY,2,0,
CONCRETE,50,1,50.0
CONNELL,19,1,19.0
COPALIS BEACH,10,0,
COPALIS CROSSING,2,1,2.0
COSMOPOLIS,24,0,
COUGAR,3,1,3.0
COULEE CITY,19,2,9.5
COULEE DAM,10,0,
COUPEVILLE,310,2,155.0
COVINGTON,824,3,274.6666666666667
COWICHE,7,0,
CRESTON,1,0,
CURLEW,9,0,
CURTIS,10,0,
CUSICK,8,2,4.0
CUSTER,38,0,
DALLESPORT,15,0,
DANVILLE,1,0,
DARRINGTON,18,1,18.0
DAVENPORT,24,3,8.0
DAYTON,20,2,10.0
DEER HARBOR,1,0,
DEER MEADOWS,3,0,
DEER PARK,103,2,51.5
DEMING,36,0,
DES MOINES,717,5,143.4
DIXIE,1,0,
DRYDEN,1,0,
DUPONT,253,2,126.5
DUVALL,789,0,
EAST WENATCHEE,402,8,50.25
EASTON,23,0,
EASTSOUND,346,5,69.2
EATONVILLE,170,0,
EDGEWOOD,381,0,
EDMONDS,2499,19,131.52631578947367
EDWALL,5,0,
ELBE,5,2,2.5
ELECTRIC CITY,4,0,
ELK,38,0,
ELLENSBURG,393,11,35.72727272727273
ELMA,91,0,
ELMER CITY,2,0,
ELTOPIA,8,0,
ENDICOTT,5,0,
ENTIAT,34,1,34.0
ENUMCLAW,463,5,92.6
EPHRATA,112,0,
ETHEL,9,0,
EVANS,8,0,
EVERETT,3744,34,110.11764705882354
EVERSON,110,1,110.0
FAIRCHILD AIR FORCE BASE,22,0,
FAIRFIELD,1,0,
FALL CITY,283,0,
FARMINGTON,1,0,
FEDERAL WAY,2117,17,124.52941176470588
FERNDALE,514,1,514.0
FIFE,282,3,94.0
FIRCREST,200,0,
FIVE CORNERS,0,1,0.0
FORD,5,0,
FORKS,26,9,2.888888888888889
FORT LEWIS,0,1,0.0
FOX ISLAND,267,0,
FREELAND,256,1,256.0
FRIDAY HARBOR,517,9,57.44444444444444
GALVIN,1,0,
GARDINER,1,0,
GARFIELD,5,0,
GEORGE,0,1,0.0
GIFFORD,1,0,
GIG HARBOR,2573,13,197.92307692307693
GLACIER,19,0,
GLENOMA,8,0,
GLENWOOD,1,0,
GOLD BAR,89,0,
GOLDENDALE,45,3,15.0
GRAHAM,488,1,488.0
GRAND COULEE,12,0,
GRANDVIEW,57,1,57.0
GRANGER,7,0,
GRANITE FALLS,199,3,66.33333333333333
GRAPEVIEW,89,0,
GRAYLAND,11,1,11.0
GRAYS RIVER,4,0,
GREENACRES,221,0,
GREENBANK,110,1,110.0
HAMILTON,2,0,
HANSVILLE,87,0,
HARRAH,1,0,
HARRINGTON,2,0,
HARTLINE,2,0,
HATTON,1,0,
HOLDEN VILLAGE,1,0,
HOODSPORT,63,0,
HOQUIAM,70,0,
HUNTERS,2,0,
HUNTS POINT,65,0,
HUSUM,22,0,
ILWACO,18,0,
INCHELIUM,0,2,0.0
INCORPORATED,1,0,
INDEX,7,0,
INDIANOLA,69,0,
IONE,3,0,
ISSAQUAH,3573,36,99.25
JOINT BASE LEWIS MCCHORD,156,0,
KALAMA,161,1,161.0
KAPOWSIN,7,0,
KELSO,255,2,127.5
KENMORE,1363,2,681.5
KENNEWICK,1241,20,62.05
KENT,4059,10,405.9
KETTLE FALLS,42,2,21.0
KEYPORT,16,3,5.333333333333333
KINGSTON,356,4,89.0
KIRKLAND,6800,54,125.92592592592592
KITTITAS,7,0,
KLICKITAT,2,0,
LA CENTER,244,0,
LA CONNER,129,2,64.5
LACEY,1322,29,45.58620689655172
LACROSSE,1,0,
LAKE FOREST PARK,864,1,864.0
LAKE STEVENS,2018,2,1009.0
LAKE TAPPS,478,0,
LAKEBAY,126,0,
LAKEVIEW,2,0,
LAKEWOOD,1153,6,192.16666666666666
LAMONT,1,0,
LANGLEY,324,3,108.0
LATAH,3,0,
LEAVENWORTH,351,16,21.9375
LEBAM,3,0,
LIBERTY LAKE,355,12,29.583333333333332
LILLIWAUP,14,0,
LINCOLN,4,0,
LIND,3,0,
LONG BEACH,61,8,7.625
LONGBRANCH,32,0,
LONGVIEW,446,6,74.33333333333333
LOON LAKE,21,0,
LOPEZ,0,2,0.0
LOPEZ IS,2,0,
LOPEZ ISLAND,170,2,85.0
LUMMI ISLAND,58,0,
LYLE,25,0,
LYMAN,2,0,
LYNDEN,324,2,162.0
LYNNWOOD,3879,25,155.16
LYNWOOD,0,1,0.0
MABTON,11,0,
MALAGA,31,0,
MALDEN,1,0,
MALOTT,1,0,
MANSFIELD,6,0,
MANSON,99,5,19.8
MAPLE FALLS,49,1,49.0
MAPLE VALLEY,2085,0,
MARBLEMOUNT,1,0,
MARLIN,3,0,
MARTHA LAKE,1,0,
MARYHILL,1,0,
MARYSVILLE,1887,10,188.7
MATTAWA,39,0,
MAZAMA,29,1,29.0
MCCHORD AFB,1,0,
MCCLEARY,56,0,
MEAD,100,1,100.0
MEDICAL LAKE,73,11,6.636363636363637
MEDINA,397,0,
MENLO,12,0,
MERCER ISLAND,2890,3,963.3333333333334
MESA,10,0,
METALINE,1,0,
METALINE FALLS,0,1,0.0
METHOW,5,0,
MICA,5,0,
MILL CREEK,954,2,477.0
MILLWOOD,0,1,0.0
MILTON,147,0,
MINERAL,16,0,
MOCLIPS,7,2,3.5
MONITOR,1,0,
MONROE,1097,4,274.25
MONTESANO,103,0,
MORTON,23,4,5.75
MOSES LAKE,472,5,94.4
MOSSYROCK,36,3,12.0
MOUNT VERNON,909,8,113.625
MOUNTLAKE TERRACE,641,5,128.2
MOXEE,45,0,
MT VERNON,0,1,0.0
MT. VERNON,0,5,0.0
MUKILTEO,1035,2,517.5
MURDOCK,4,0,
NACHES,36,1,36.0
NAHCOTTA,5,0,
NAPAVINE,10,0,
NASELLE,22,0,
NEAH BAY,11,3,3.6666666666666665
NESPELEM,1,0,
NEWCASTLE,1205,1,1205.0
NEWHALEM,0,1,0.0
NEWMAN LAKE,56,0,
NEWPORT,51,2,25.5
NINE MILE FALLS,141,1,141.0
NOOKSACK,14,0,
NORDLAND,61,0,
NORMANDY PARK,325,1,325.0
NORTH BEND,948,5,189.6
NORTH BONNEVILLE,18,0,
NORTH COVE,11,0,
NORTHPORT,1,0,
NORTHWESTERN LAKE,1,0,
OAK HARBOR,662,6,110.33333333333333
OAKESDALE,3,0,
OAKVILLE,33,0,
OCEAN PARK,46,0,
OCEAN SHORES,189,3,63.0
ODESSA,9,0,
OKANOGAN,9,1,9.0
OLALLA,139,0,
OLGA,51,1,51.0
OLYMPIA,5758,44,130.86363636363637
OMAK,27,1,27.0
ONALASKA,43,0,
ORCAS,4,0,
ORCAS IS,11,0,
ORONDO,72,0,
OROVILLE,25,2,12.5
ORTING,233,0,
OTHELLO,70,1,70.0
OTIS ORCHARDS,61,1,61.0
OUTLOOK,16,0,
OYSTERVILLE,7,0,
PACIFIC,112,0,
PACIFIC BEACH,32,2,16.0
PACKWOOD,29,2,14.5
PALISADES,4,0,
PALOUSE,27,1,27.0
PARKER,2,0,
PARKLAND,148,0,
PASC,2,0,
PASCO,859,21,40.904761904761905
PATEROS,8,2,4.0
PATERSON,1,0,
PE ELL,3,0,
PESHASTIN,29,0,
PLYMOUTH,1,0,
POINT ROBERTS,77,0,
POMEROY,3,0,
PORT ANGELES,634,19,33.36842105263158
PORT GAMBLE,4,0,
PORT HADLOCK,66,1,66.0
PORT LUDLOW,213,2,106.5
PORT ORCHARD,1571,7,224.42857142857142
PORT TOWNSEND,772,9,85.77777777777777
POULSBO,996,24,41.5
POUSLBO,6,0,
PRESCOTT,2,0,
PRESTON,41,0,
PROS,1,0,
PROSSER,100,0,
PULLMAN,377,16,23.5625
PUYALLUP,1985,32,62.03125
QUILCENE,62,0,
QUINAULT,4,1,4.0
QUINCY,138,5,27.6
RAINIER,78,0,
RANDLE,8,3,2.6666666666666665
RAVENSDALE,125,0,
RAYMOND,44,0,
REARDAN,9,0,
REDMOND,8320,109,76.3302752293578
RENTON,6637,49,135.44897959183675
REPUBLIC,13,1,13.0
RICE,5,0,
RICH,1,0,
RICHLAND,1316,54,24.37037037037037
RIDGEFIELD,1253,21,59.666666666666664
RITZVILLE,25,8,3.125
RIVERSIDE,5,0,
ROCHE HARBOR,0,2,0.0
ROCHESTER,157,3,52.333333333333336
ROCK ISLAND,20,0,
ROCKFORD,7,0,
ROCKPORT,2,1,2.0
RONALD,61,0,
ROOSEVELT,1,0,
ROSALIA,12,2,6.0
ROSBURG,3,0,
ROSLYN,32,0,
ROY,181,0,
ROYAL CITY,27,0,
RUSTON,43,0,
RYDERWOOD,3,0,
SALKUM,5,2,2.5
SAMMAMISH,6754,11,614.0
SAN JUAN IS,2,0,
SEABECK,124,0,
SEATAC,1303,14,93.07142857142857
SEATTLE,38046,709,53.66149506346967
SEAVIEW,9,1,9.0
SEDRO WOOLLEY,73,0,
SEDRO-WOOLLEY,254,0,
SEKIU,7,0,
SELAH,142,1,142.0
SEQUIM,768,11,69.81818181818181
SEVEN BAYS,4,0,
SHAW ISLAND,17,0,
SHELTON,559,5,111.8
SHORELINE,2596,15,173.06666666666666
SILVER CREEK,12,0,
SILVER LAKE,1,0,
SILVERDALE,514,16,32.125
SILVERLAKE,36,0,
SKAMOKAWA,9,0,
SKYKOMISH,8,1,8.0
SMITH CREEK,1,0,
SNOHOMISH,2741,7,391.57142857142856
SNOQUALMIE,1190,4,297.5
SNOQUALMIE PASS,40,2,20.0
SNOWDEN,22,0,
SOAP LAKE,30,1,30.0
SOUTH BEND,12,0,
SOUTH CLE ELUM,6,0,
SOUTH HILL,782,0,
SOUTH PRAIRIE,4,0,
SPANAWAY,611,1,611.0
SPANGLE,15,1,15.0
SPOKANE,3952,126,31.365079365079364
SPOKANE VALLEY,994,15,66.26666666666667
SPRAGUE,4,3,1.3333333333333333
SPRINGDALE,2,0,
ST,0,1,0.0
ST JOHN,2,0,
STANWOOD,614,1,614.0
STARTUP,1,0,
STEILACOOM,206,1,206.0
STEVENSON,65,3,21.666666666666668
STRATFORD,1,0,
SULTAN,285,2,142.5
SUMAS,23,0,
SUMNER,276,3,92.0
SUNNYSIDE,89,2,44.5
SUQUAMISH,93,1,93.0
SURFSIDE,36,0,
TACOMA,5290,95,55.68421052631579
TAHOLAH,7,0,
TAHUYA,43,0,
TEKOA,4,0,
TENINO,120,5,24.0
THORP,10,0,
TIETON,17,0,
TOKELAND,3,0,
TOLEDO,47,0,
TONASKET,24,1,24.0
TOPPENISH,26,4,6.5
TOUCHET,12,0,
TOUTLE,7,0,
TROUT LAKE,40,0,
TUKWILA,3365,26,129.42307692307693
TULALIP,4,6,0.6666666666666666
TULALIP BAY,0,5,0.0
TUMTUM,1,0,
TUMWATER,892,7,127.42857142857143
TWISP,59,2,29.5
UNDERWOOD,41,0,
UNION,67,1,67.0
UNION GAP,17,0,
UNIONTOWN,6,0,
UNIVERSITY PLACE,946,0,
USK,1,0,
VADER,10,0,
VALLEY,10,0,
VALLEYFORD,29,0,
VANCOUVER,8740,75,116.53333333333333
VANTAGE,2,0,
VASHON,777,3,259.0
VAUGHN,31,0,
VERADALE,81,0,
WAHKIACUS,2,0,
WAITSBURG,12,1,12.0
WALDRON,4,0,
WALLA WALLA,498,26,19.153846153846153
WALLA WALLA CO,3,0,
WAPATO,28,3,9.333333333333334
WARDEN,17,0,
WASHOUGAL,781,14,55.785714285714285
WASHTUCNA,2,1,2.0
WATERVILLE,7,0,
WELLPINIT,2,0,
WENATCHEE,608,29,20.96551724137931
WEST RICHLAND,334,0,
WEST SEATTLE,0,1,0.0
WESTPORT,36,3,12.0
WHITE SALMON,216,2,108.0
WHITE SWAN,1,1,1.0
WILBUR,6,0,
WILKESON,6,0,
WILLAPA,3,0,
WINLOCK,98,0,
WINTHROP,130,5,26.0
WISHRAM,1,0,
WOODINVILLE,2996,14,214.0
WOODLAND,255,0,
WOODWAY,120,0,
WRCH,3,0,
YACOLT,78,0,
YAKIMA,1023,21,48.714285714285715
YARROW POINT,157,0,
YELM,417,1,417.0
ZILLAH,41,2,20.5
